A	0.87	2.13%	645319200
AA	-17.76	-37.49%	6449104200
AA-B	-17.14	-33.97%	40441700
AAC	-11.86	-38.36%	78122300
AAN	-8.18	-26.76%	179606700
AAP	-8.77	-5.51%	266930500
AAT	-1.46	-3.67%	48158100
AAV	0.29	6.05%	30229400
AB	-1.98	-7.67%	71403800
ABB	-3.42	-16.17%	532805500
ABBV	-6.2	-9.47%	2643021600
ABC	13.55	15.03%	516218400
ABEV	-1.76	-28.30%	3915345800
ABG	-8.48	-11.17%	82930400
ABM	-0.18	-0.63%	72539400
ABR	0.38	5.61%	37916900
ABR-A	-0.49	-1.96%	1243100
ABR-B	-2.14	-8.66%	1022000
ABR-C	-0.12	-0.47%	634000
ABRN	0.1	0.41%	2109900
ABT	-0.11	-0.24%	1469310700
ABX	-3.37	-31.35%	4289215100
AC	1	3.39%	437700
ACC	-0.02	-0.05%	228980000
ACCO	-1.88	-20.87%	167330800
ACH	-3.28	-28.47%	35801000
ACM	-0.34	-1.12%	362299600
ACN	15.19	17.01%	625655000
ACP	-3.76	-24.88%	14348400
ACRE	-0.04	-0.35%	39118800
ACV	-6.79	-27.21%	11539300
ACW	-2.68	-61.75%	46092000
ADC	2.9	9.33%	27995400
ADM	-15.32	-29.46%	998224500
ADPT	17.12	45.78%	82504100
ADS	-9.48	-3.31%	108101200
ADX	-0.85	-6.21%	31402600
AEB	0.65	2.77%	4267500
AED	0.45	1.77%	4930700
AEE	-2.9	-6.29%	419963700
AEG	-1.83	-24.40%	308824100
AEH	0.28	1.10%	12978100
AEK	-0.58	-2.06%	8268400
AEL	-5.16	-17.68%	134214500
AEM	1.39	5.58%	682224900
AEO	1.62	11.67%	1255753900
AEP	-2.45	-4.03%	709551700
AER	4.34	11.18%	527225700
AES	-4.2	-30.50%	1540683700
AES-C	-0.81	-1.59%	2371700
AET	19.29	21.72%	732993400
AEUA	-16.3	-32.44%	12416800
AF	2.49	18.64%	194543500
AF-C	1.33	5.39%	2676100
AFA	0.31	1.21%	2641100
AFB	0.04	0.29%	16719900
AFC	0.4	1.60%	2800800
AFG	11.36	18.71%	74624100
AFGE	0.93	3.70%	4895800
AFGH	0.86	3.47%	2686500
AFL	-1.19	-1.95%	540267400
AFS-A	0.95	4.05%	3375900
AFS-B	0.97	3.99%	3889600
AFS-C	0.48	1.91%	2817500
AFS-D	0.4	1.60%	8699200
AFSD	1.28	5.21%	8611600
AFSS	0.79	3.18%	5250200
AFST	1.22	4.95%	3310700
AFT	-1.48	-8.90%	20018500
AFW	-0.49	-1.85%	3190300
AG	-1.75	-34.86%	464325700
AGC	-0.75	-11.90%	31379300
AGCO	0.19	0.42%	295115900
AGD	-0.99	-10.06%	12057800
AGI	-3.84	-53.86%	261770700
AGM	1.23	4.05%	9945700
AGM-A	0.3	1.20%	1052400
AGM-B	0.53	2.00%	648800
AGM-C	0.77	3.03%	621500
AGM.A	4.31	18.96%	98800
AGN	99.91	47.00%	619008000
AGN-A	-6.19	-0.60%	3944600
AGO	0.44	1.69%	427156200
AGO-B	0.29	1.14%	1245800
AGO-E	0.1	0.39%	3181700
AGO-F	0.99	4.14%	2021200
AGR	-0.35	-0.90%	25386200
AGRO	4.28	53.43%	71918000
AGU	-5.38	-5.68%	168943100
AGX	-1.24	-3.69%	27900000
AHC	-5.38	-51.83%	18850200
AHH	0.99	10.43%	31659300
AHL	4.53	10.35%	76864200
AHL-A	-0.97	-3.71%	4273000
AHL-B	0.1	0.38%	4383400
AHL-C	0.53	2.10%	9932100
AHP	-2.66	-15.50%	47052000
AHS	11.45	58.42%	170925400
AHT	-4.17	-39.79%	211982200
AHT-A	-0.53	-2.06%	901500
AHT-D	-0.34	-1.33%	4801600
AI	-13.38	-50.28%	79077100
AIB	0.22	0.87%	3565400
AIC	-5.83	-23.32%	776200
AIF	-2.07	-12.97%	13002400
AIG	5.96	10.64%	2092639300
AIG.W	-0.86	-3.49%	25763000
AIN	-1.44	-3.79%	24990700
AIR	-1.49	-5.36%	69895700
AIT	-5.1	-11.19%	66041700
AIV	2.88	7.75%	316016300
AIV-A	-0.48	-1.84%	3473100
AIW	-4.2	-17.36%	661400
AIY	0.02	0.08%	3496400
AIZ	12.11	17.70%	153793600
AJG	-6.14	-13.04%	252424800
AJRD	-5.29	-25.25%	55543100
AJX	-2.13	-14.95%	11001900
AKO.A	1.98	13.85%	800900
AKO.B	0.41	2.41%	11888700
AKP	0.53	3.91%	5246100
AKR	1.12	3.50%	82267900
AKS	-3.7	-62.29%	2210292700
AL	-0.83	-2.42%	184131300
ALB	-4.12	-6.85%	365746200
ALDW	10.34	80.09%	53114100
